gameDate;homeTeamName;awayTeamName;teamName;scorer;goalMinute;ownGoal;penalty
1930-07-13;Belgium;United States;United States;Bart McGhee;23;0;0
1930-07-13;Belgium;United States;United States;Tom Florie;45;0;0
1930-07-13;Belgium;United States;United States;Bert Patenaude;69;0;0
1930-07-13;France;Mexico;France;Lucien Laurent;19;0;0
1930-07-13;France;Mexico;France;Marcel Langiller;40;0;0
1930-07-13;France;Mexico;France;Andre Maschinot;43;0;0
1930-07-13;France;Mexico;Mexico;Juan Carreno;70;0;0
1930-07-13;France;Mexico;France;Andre Maschinot;87;0;0
1930-07-14;Brazil;Yugoslavia;Yugoslavia;Aleksandar Tirnanic;21;0;0
1930-07-14;Brazil;Yugoslavia;Yugoslavia;Ivan Bek;30;0;0
1930-07-14;Brazil;Yugoslavia;Brazil;Preguinho;62;0;0
1930-07-14;Peru;Romania;Romania;Adalbert Desu;1;0;0
1930-07-14;Peru;Romania;Peru;Luis de Souza;75;0;0
1930-07-14;Peru;Romania;Romania;Constantin Stanciu;79;0;0
1930-07-14;Peru;Romania;Romania;Miklos Kovacs;89;0;0
1930-07-15;Argentina;France;Argentina;Luis Monti;81;0;0
1930-07-16;Chile;Mexico;Chile;Carlos Vidal;3;0;0
1930-07-16;Chile;Mexico;Chile;Manuel Rosas;52;1;0
1930-07-16;Chile;Mexico;Chile;Carlos Vidal;65;0;0
1930-07-17;Bolivia;Yugoslavia;Yugoslavia;Ivan Bek;60;0;0
1930-07-17;Bolivia;Yugoslavia;Yugoslavia;Blagoje Marjanovic;65;0;0
1930-07-17;Bolivia;Yugoslavia;Yugoslavia;Ivan Bek;67;0;0
1930-07-17;Bolivia;Yugoslavia;Yugoslavia;Dorde Vujadinovic;85;0;0
1930-07-17;Paraguay;United States;United States;Bert Patenaude;10;0;0
1930-07-17;Paraguay;United States;United States;Bert Patenaude;15;0;0
1930-07-17;Paraguay;United States;United States;Bert Patenaude;50;0;0
1930-07-18;Uruguay;Peru;Uruguay;Hector Castro;65;0;0
1930-07-19;Argentina;Mexico;Argentina;Guillermo Stabile;8;0;0
1930-07-19;Argentina;Mexico;Argentina;Adolfo Zumelzu;12;0;0
