placedAt;teamName;numGames;wins;draws;losses;worldCupYear
1;Uruguay;4;4;0;0;1930
2;Argentina;5;4;0;1;1930
3;United States;3;2;0;1;1930
4;Yugoslavia;3;2;0;1;1930
5;Chile;3;2;0;1;1930
6;Brazil;2;1;0;1;1930
7;France;3;1;0;2;1930
8;Romania;2;1;0;1;1930
9;Paraguay;2;1;0;1;1930
10;Peru;2;0;0;2;1930
11;Belgium;2;0;0;2;1930
12;Bolivia;2;0;0;2;1930
13;Mexico;3;0;0;3;1930
1;Italy;4;3;1;0;1934
2;Czechoslovakia;4;3;0;1;1934
3;Germany;4;3;0;1;1934
4;Austria;4;2;0;2;1934
5;Spain;2;1;1;0;1934
6;Hungary;2;1;0;1;1934
7;Switzerland;2;1;0;1;1934
8;Sweden;2;1;0;1;1934
9;Argentina;1;0;0;1;1934
9;France;1;0;0;1;1934
9;Netherlands;1;0;0;1;1934
12;Romania;1;0;0;1;1934
13;Egypt;1;0;0;1;1934
14;Brazil;1;0;0;1;1934
15;Belgium;1;0;0;1;1934
16;United States;1;0;0;1;1934
1;Italy;4;4;0;0;1938
2;Hungary;4;3;0;1;1938
3;Brazil;5;3;1;1;1938
4;Sweden;3;1;0;2;1938
5;Czechoslovakia;3;1;1;1;1938
6;Switzerland;3;1;1;1;1938
7;Cuba;3;1;1;1;1938
8;France;2;1;0;1;1938
9;Romania;2;0;1;1;1938
10;Germany;2;0;1;1;1938
11;Poland;1;0;0;1;1938
12;Norway;1;0;0;1;1938
13;Belgium;1;0;0;1;1938
14;Netherlands;1;0;0;1;1938
15;Dutch East Indies;1;0;0;1;1938
1;Uruguay;4;3;1;0;1950
2;Brazil;6;4;1;1;1950
3;Sweden;5;2;1;2;1950
4;Spain;6;3;1;2;1950
5;Yugoslavia;3;2;0;1;1950
6;Switzerland;3;1;1;1;1950
7;Italy;2;1;0;1;1950
8;England;3;1;0;2;1950
9;Chile;3;1;0;2;1950
10;United States;3;1;0;2;1950
11;Paraguay;2;0;1;1;1950
12;Mexico;3;0;0;3;1950
13;Bolivia;1;0;0;1;1950
1;West Germany;6;5;0;1;1954
2;Hungary;5;4;0;1;1954
3;Austria;5;4;0;1;1954
4;Uruguay;5;3;0;2;1954
5;Switzerland;4;2;0;2;1954
6;Brazil;3;1;1;1;1954
7;England;3;1;1;1;1954
8;Yugoslavia;3;1;1;1;1954
9;Turkey;3;1;0;2;1954
10;Italy;3;1;0;2;1954
11;France;2;1;0;1;1954
12;Belgium;2;0;1;1;1954
13;Mexico;2;0;0;2;1954
14;Czechoslovakia;2;0;0;2;1954
15;Scotland;2;0;0;2;1954
16;South Korea;2;0;0;2;1954
1;Brazil;6;5;1;0;1958
2;Sweden;6;4;1;1;1958
3;France;6;4;0;2;1958
4;West Germany;6;2;2;2;1958
5;Wales;5;1;3;1;1958
6;Soviet Union;5;2;1;2;1958
7;Northern Ireland;5;2;1;2;1958
8;Yugoslavia;4;1;2;1;1958
9;Czechoslovakia;4;1;1;2;1958
10;Hungary;4;1;1;2;1958
11;England;4;0;3;1;1958
12;Paraguay;3;1;1;1;1958
13;Argentina;3;1;0;2;1958
14;Scotland;3;0;1;2;1958
15;Austria;3;0;1;2;1958
16;Mexico;3;0;1;2;1958
1;Brazil;6;5;1;0;1962
2;Czechoslovakia;6;3;1;2;1962
3;Chile;6;4;0;2;1962
4;Yugoslavia;6;3;0;3;1962
5;Hungary;4;2;1;1;1962
6;Soviet Union;4;2;1;1;1962
7;West Germany;4;2;1;1;1962
8;England;4;1;1;2;1962
9;Italy;3;1;1;1;1962
10;Argentina;3;1;1;1;1962
11;Mexico;3;1;0;2;1962
12;Spain;3;1;0;2;1962
13;Uruguay;3;1;0;2;1962
14;Colombia;3;0;1;2;1962
15;Bulgaria;3;0;1;2;1962
16;Switzerland;3;0;0;3;1962
1;England;6;5;1;0;1966
2;West Germany;6;4;1;1;1966
3;Portugal;6;5;0;1;1966
4;Soviet Union;6;4;0;2;1966
5;Argentina;4;2;1;1;1966
6;Hungary;4;2;0;2;1966
7;Uruguay;4;1;2;1;1966
8;North Korea;4;1;1;2;1966
9;Italy;3;1;0;2;1966
10;Spain;3;1;0;2;1966
11;Brazil;3;1;0;2;1966
12;Mexico;3;0;2;1;1966
13;Chile;3;0;1;2;1966
13;France;3;0;1;2;1966
15;Bulgaria;3;0;0;3;1966
16;Switzerland;3;0;0;3;1966
1;Brazil;6;6;0;0;1970
2;Italy;6;3;2;1;1970
3;West Germany;6;5;0;1;1970
4;Uruguay;6;2;1;3;1970
5;Soviet Union;4;2;1;1;1970
6;Mexico;4;2;1;1;1970
7;Peru;4;2;0;2;1970
8;England;4;2;0;2;1970
9;Sweden;3;1;1;1;1970
10;Belgium;3;1;0;2;1970
