gameDate;teamName;scorer;goalMinute;ownGoal;penalty;homeTeamName;awayTeamName
1930-07-13;United States;Bart McGhee;23;0;0;Belgium;United States
1930-07-13;United States;Tom Florie;45;0;0;Belgium;United States
1930-07-13;United States;Bert Patenaude;69;0;0;Belgium;United States
1930-07-13;France;Lucien Laurent;19;0;0;France;Mexico
1930-07-13;France;Marcel Langiller;40;0;0;France;Mexico
1930-07-13;France;Andre Maschinot;43;0;0;France;Mexico
1930-07-13;Mexico;Juan Carreno;70;0;0;France;Mexico
1930-07-13;France;Andre Maschinot;87;0;0;France;Mexico
1930-07-14;Yugoslavia;Aleksandar Tirnanic;21;0;0;Brazil;Yugoslavia
1930-07-14;Yugoslavia;Ivan Bek;30;0;0;Brazil;Yugoslavia
1930-07-14;Brazil;Preguinho;62;0;0;Brazil;Yugoslavia
1930-07-14;Romania;Adalbert Desu;1;0;0;Peru;Romania
1930-07-14;Peru;Luis de Souza;75;0;0;Peru;Romania
1930-07-14;Romania;Constantin Stanciu;79;0;0;Peru;Romania
1930-07-14;Romania;Miklos Kovacs;89;0;0;Peru;Romania
1930-07-15;Argentina;Luis Monti;81;0;0;Argentina;France
1930-07-16;Chile;Carlos Vidal;3;0;0;Chile;Mexico
1930-07-16;Chile;Manuel Rosas;52;1;0;Chile;Mexico
1930-07-16;Chile;Carlos Vidal;65;0;0;Chile;Mexico
1930-07-17;Yugoslavia;Ivan Bek;60;0;0;Bolivia;Yugoslavia
1930-07-17;Yugoslavia;Blagoje Marjanovic;65;0;0;Bolivia;Yugoslavia
1930-07-17;Yugoslavia;Ivan Bek;67;0;0;Bolivia;Yugoslavia
1930-07-17;Yugoslavia;Dorde Vujadinovic;85;0;0;Bolivia;Yugoslavia
1930-07-17;United States;Bert Patenaude;10;0;0;Paraguay;United States
1930-07-17;United States;Bert Patenaude;15;0;0;Paraguay;United States
1930-07-17;United States;Bert Patenaude;50;0;0;Paraguay;United States
1930-07-18;Uruguay;Hector Castro;65;0;0;Uruguay;Peru
1930-07-19;Argentina;Guillermo Stabile;8;0;0;Argentina;Mexico
1930-07-19;Argentina;Adolfo Zumelzu;12;0;0;Argentina;Mexico
1930-07-19;Argentina;Guillermo Stabile;17;0;0;Argentina;Mexico
1930-07-19;Mexico;Manuel Rosas;42;0;1;Argentina;Mexico
1930-07-19;Argentina;Francisco Varallo;53;0;0;Argentina;Mexico
1930-07-19;Argentina;Adolfo Zumelzu;55;0;0;Argentina;Mexico
1930-07-19;Mexico;Manuel Rosas;65;0;0;Argentina;Mexico
1930-07-19;Mexico;Roberto Gayon;75;0;0;Argentina;Mexico
1930-07-19;Argentina;Guillermo Stabile;80;0;0;Argentina;Mexico
1930-07-19;Chile;Guillermo Subiabre;67;0;0;Chile;France
1930-07-20;Paraguay;Luis Vargas Pena;40;0;0;Belgium;Paraguay
1930-07-20;Brazil;Moderato Wisintainer;37;0;0;Bolivia;Brazil
1930-07-20;Brazil;Preguinho;57;0;0;Bolivia;Brazil
1930-07-20;Brazil;Moderato Wisintainer;73;0;0;Bolivia;Brazil
1930-07-20;Brazil;Preguinho;83;0;0;Bolivia;Brazil
1930-07-21;Uruguay;Pablo Dorado;7;0;0;Uruguay;Romania
1930-07-21;Uruguay;Hector Scarone;26;0;0;Uruguay;Romania
1930-07-21;Uruguay;Peregrino Anselmo;31;0;0;Uruguay;Romania
1930-07-21;Uruguay;Pedro Cea;35;0;0;Uruguay;Romania
1930-07-22;Argentina;Guillermo Stabile;12;0;0;Argentina;Chile
1930-07-22;Argentina;Guillermo Stabile;13;0;0;Argentina;Chile
1930-07-22;Chile;Guillermo Subiabre;15;0;0;Argentina;Chile
1930-07-22;Argentina;Mario Evaristo;51;0;0;Argentina;Chile
1930-07-26;Argentina;Luis Monti;20;0;0;Argentina;United States
1930-07-26;Argentina;Alejandro Scopelli;56;0;0;Argentina;United States
1930-07-26;Argentina;Guillermo Stabile;69;0;0;Argentina;United States
1930-07-26;Argentina;Carlos Peucelle;80;0;0;Argentina;United States
1930-07-26;Argentina;Carlos Peucelle;85;0;0;Argentina;United States
1930-07-26;Argentina;Guillermo Stabile;87;0;0;Argentina;United States
1930-07-26;United States;Jim Brown;89;0;0;Argentina;United States
1930-07-27;Yugoslavia;Dorde Vujadinovic;4;0;0;Uruguay;Yugoslavia
1930-07-27;Uruguay;Pedro Cea;18;0;0;Uruguay;Yugoslavia
1930-07-27;Uruguay;Peregrino Anselmo;20;0;0;Uruguay;Yugoslavia
1930-07-27;Uruguay;Peregrino Anselmo;31;0;0;Uruguay;Yugoslavia
1930-07-27;Uruguay;Santos Iriarte;61;0;0;Uruguay;Yugoslavia
